run_name,checkpoint,t_scale,seed,acc,ece,nll,brier,jsd_vs_human,student_mean_entropy,entropy_pearson_vs_human,entropy_spearman_vs_human,n_val
FERPlus_tempscale_T026_vich_T6_224_200e_swa100_seed1,swa,0.26,1,88.93118286132812,0.06315769743359811,0.49612563848495483,0.17755186557769775,0.07449159771203995,0.12313684076070786,0.451569455897621,0.6637197542137864,3153
FERPlus_tempscale_T026_vich_T6_224_200e_swa100_seed1,best,0.26,1,89.08975982666016,0.056418791862279695,0.4762013554573059,0.17437942326068878,0.07243577390909195,0.13067755103111267,0.4536977413342547,0.6582600324945502,3153
FERPlus_tempscale_T026_vich_T6_224_200e_swa100_seed1,last,0.26,1,88.83602905273438,0.058695782745145364,0.48291441798210144,0.1777963787317276,0.07349057495594025,0.13236255943775177,0.45932780357895137,0.6621815547067723,3153
FERPlus_tempscale_T026_vich_T6_224_200e_swa100_seed42,swa,0.26,42,89.18490600585938,0.05675966730958653,0.4932011663913727,0.17370648682117462,0.07348594814538956,0.12618747353553772,0.4464154765148832,0.667918827236811,3153
FERPlus_tempscale_T026_vich_T6_224_200e_swa100_seed42,best,0.26,42,89.59720611572266,0.05564834560302187,0.4985899031162262,0.17260047793388367,0.07428289204835892,0.12512244284152985,0.42402785655617714,0.6382238452570995,3153
FERPlus_tempscale_T026_vich_T6_224_200e_swa100_seed42,last,0.26,42,89.15319061279297,0.05778285875193399,0.4884514808654785,0.17587336897850037,0.07390286773443222,0.12879806756973267,0.4434290033411828,0.6652283232721684,3153
FERPlus_tempscale_T026_vich_T6_224_200e_swa100_seed43,swa,0.26,43,89.50205993652344,0.0563050520597773,0.48473772406578064,0.1742839366197586,0.07306459546089172,0.12387706339359283,0.4413629234811902,0.6679964726341512,3153
FERPlus_tempscale_T026_vich_T6_224_200e_swa100_seed43,best,0.26,43,89.2800521850586,0.058317133634006486,0.4809228181838989,0.17837198078632355,0.07301793247461319,0.13255973160266876,0.45247005821687053,0.662869365940264,3153
FERPlus_tempscale_T026_vich_T6_224_200e_swa100_seed43,last,0.26,43,88.80431365966797,0.06068961956067725,0.49352380633354187,0.1807672530412674,0.07418952882289886,0.12761084735393524,0.4413662761928264,0.6563520053194678,3153
FERPlus_tempscale_T051_vich_T6_224_200e_swa100_seed1,swa,0.5063,1,89.18490600585938,0.019317023174898078,0.3559882342815399,0.16772691905498505,0.05847228318452835,0.25634095072746277,0.6021977475364153,0.6815468515739838,3153
FERPlus_tempscale_T051_vich_T6_224_200e_swa100_seed1,best,0.5063,1,89.24833679199219,0.021791451825363614,0.36287564039230347,0.17107689380645752,0.05792571231722832,0.2726387679576874,0.6104482755606426,0.6810282558790333,3153
FERPlus_tempscale_T051_vich_T6_224_200e_swa100_seed1,last,0.5063,1,89.24833679199219,0.021791451825363614,0.36287564039230347,0.17107689380645752,0.05792571231722832,0.2726387679576874,0.6104482755606426,0.6810282558790333,3153
FERPlus_tempscale_T051_vich_T6_224_200e_swa100_seed42,swa,0.5063,42,88.96289825439453,0.016668123231779533,0.358048677444458,0.16850809752941132,0.05922039970755577,0.24876420199871063,0.5943745159210704,0.6815640014305571,3153
FERPlus_tempscale_T051_vich_T6_224_200e_swa100_seed42,best,0.5063,42,89.08975982666016,0.017758301702938573,0.3559317886829376,0.1691504418849945,0.05919638276100159,0.25705865025520325,0.5967497765744846,0.6718738285373169,3153
FERPlus_tempscale_T051_vich_T6_224_200e_swa100_seed42,last,0.5063,42,88.48715209960938,0.023490825088448346,0.3722599446773529,0.1760490983724594,0.06077577918767929,0.2537008225917816,0.591836457851019,0.6743986933585858,3153
FERPlus_tempscale_T051_vich_T6_224_200e_swa100_seed43,swa,0.5063,43,89.21662139892578,0.019510661094407224,0.3501339852809906,0.16704565286636353,0.05837797001004219,0.25917959213256836,0.6073025075530618,0.6862454729690415,3153
FERPlus_tempscale_T051_vich_T6_224_200e_swa100_seed43,best,0.5063,43,89.2800521850586,0.019223162513893825,0.3491554260253906,0.16833384335041046,0.05886823311448097,0.2691548764705658,0.601328337908512,0.6797995660616438,3153
FERPlus_tempscale_T051_vich_T6_224_200e_swa100_seed43,last,0.5063,43,88.77259826660156,0.012109665408650164,0.35576120018959045,0.17071953415870667,0.05864023417234421,0.27256256341934204,0.6084013062412885,0.6805207818872018,3153
FERPlus_tempscale_T074_vich_T6_224_200e_swa100_seed1,swa,0.74,1,88.83602905273438,0.033211600324898116,0.3482341468334198,0.17380458116531372,0.05385049805045128,0.3804088830947876,0.6703343019311571,0.70075643593706,3153
FERPlus_tempscale_T074_vich_T6_224_200e_swa100_seed1,best,0.74,1,89.08975982666016,0.0389406126697896,0.3541612923145294,0.17637677490711212,0.05441206693649292,0.3962635397911072,0.6650682998760349,0.6925614414168518,3153
FERPlus_tempscale_T074_vich_T6_224_200e_swa100_seed1,last,0.74,1,88.39200592041016,0.03784632748964662,0.3576681911945343,0.17951981723308563,0.054842639714479446,0.41175878047943115,0.6680424785787927,0.6963720947092921,3153
FERPlus_tempscale_T074_vich_T6_224_200e_swa100_seed42,swa,0.74,42,88.77259826660156,0.03561090661199215,0.33789119124412537,0.17073671519756317,0.05316976085305214,0.3846632242202759,0.6660653964605138,0.6989053152730521,3153
FERPlus_tempscale_T074_vich_T6_224_200e_swa100_seed42,best,0.74,42,89.21662139892578,0.054949737638660436,0.34707435965538025,0.17351387441158295,0.05354243889451027,0.43462198972702026,0.6696367432530608,0.6947242418006994,3153
FERPlus_tempscale_T074_vich_T6_224_200e_swa100_seed42,last,0.74,42,88.80431365966797,0.038379387981431125,0.3445281386375427,0.1739674210548401,0.053790610283613205,0.40239664912223816,0.6658437291917955,0.6954612151211752,3153
FERPlus_tempscale_T074_vich_T6_224_200e_swa100_seed43,swa,0.74,43,88.74088287353516,0.03426717110675288,0.3418695032596588,0.17440976202487946,0.05377340689301491,0.3869178295135498,0.673667531403488,0.70782251051936,3153
FERPlus_tempscale_T074_vich_T6_224_200e_swa100_seed43,best,0.74,43,89.08975982666016,0.051014738719197934,0.3512783646583557,0.1777411550283432,0.054474376142024994,0.4291355013847351,0.6757284325535196,0.701450841790329,3153
FERPlus_tempscale_T074_vich_T6_224_200e_swa100_seed43,last,0.74,43,88.32857513427734,0.03698929805926508,0.34874412417411804,0.17800581455230713,0.054629623889923096,0.4121294319629669,0.6686307804100273,0.697840301800833,3153
FERPlus_tempscale_T100_vich_T6_224_200e_swa100_seed1,swa,1.0,1,89.12147521972656,0.08258272617195207,0.3615642786026001,0.17854289710521698,0.054635126143693924,0.5438454151153564,0.6854660166846298,0.6983195191086126,3153
FERPlus_tempscale_T100_vich_T6_224_200e_swa100_seed1,best,1.0,1,89.47034454345703,0.10075931245850411,0.37631329894065857,0.18361593782901764,0.0567803792655468,0.6017345190048218,0.6899934233315973,0.6978203312381721,3153
