teacher,recipe,condition,ece,baseline_ece,ece_delta_vs_baseline
Stage1,400e_swa200,baseline,0.05811642995286332,0.05811642995286332,0.0
Stage1,400e_swa200,gate,0.06776755306058632,0.05811642995286332,0.009651123107723002
Stage1,400e_swa200,g2g_kl,0.06230867649228199,0.05811642995286332,0.004192246539418673
Stage1,400e_swa200,logit_std,0.18360449778792753,0.05811642995286332,0.12548806783506422
Stage1,400e_swa200,adaptive_t,0.06056713746105364,0.05811642995286332,0.0024507075081903196
Stage1,400e_swa200,ctkd,0.07248697226874365,0.05811642995286332,0.014370542315880329
Primary,400e_swa200,baseline,0.06541968091370387,0.06541968091370387,0.0
Primary,400e_swa200,gate,0.06543961421840347,0.06541968091370387,1.9933304699598642e-05
Primary,400e_swa200,g2g_kl,0.057581520735284955,0.06541968091370387,-0.007838160178418915
Primary,400e_swa200,logit_std,0.18397484471562472,0.06541968091370387,0.11855516380192085
Primary,400e_swa200,adaptive_t,0.0665947145295501,0.06541968091370387,0.0011750336158462271
Primary,400e_swa200,ctkd,0.06966088174063968,0.06541968091370387,0.004241200826935812
VAE9182,400e_swa200,baseline,0.028509536391364523,0.028509536391364523,0.0
VAE9182,400e_swa200,gate,0.03221450205965182,0.028509536391364523,0.0037049656682872946
VAE9182,400e_swa200,g2g_kl,0.0261851566245068,0.028509536391364523,-0.002324379766857721
VAE9182,400e_swa200,logit_std,0.18205058594104365,0.028509536391364523,0.15354104954967912
VAE9182,400e_swa200,adaptive_t,0.03472708041307359,0.028509536391364523,0.006217544021709067
VAE9182,400e_swa200,ctkd,0.0321451712307439,0.028509536391364523,0.0036356348393793807
Stage1,200e_noSWA,baseline,0.05794781927296204,0.05794781927296204,0.0
Stage1,200e_noSWA,gate,0.06791806008273336,0.05794781927296204,0.009970240809771325
