teacher,own_acc,signal,auroc_signed,informativeness_abs_auroc_minus_half,direction
Stage1,92.24250030517578,mean_logvar,0.4261929506785046,0.0738070493214954,higher->less error (confidence-like)
Stage1,92.24250030517578,target_logvar,0.6996852451227842,0.19968524512278418,higher->more error (uncertainty-like)
Stage1,92.24250030517578,top2_logvar,0.42041452623452213,0.07958547376547787,higher->less error (confidence-like)
Stage1,92.24250030517578,max_logvar,0.514224841880215,0.014224841880215,higher->more error (uncertainty-like)
Stage1,92.24250030517578,entropy,0.890930011580604,0.39093001158060403,higher->more error (uncertainty-like)
Stage1,92.24250030517578,msp,0.10968613593847433,0.3903138640615257,higher->less error (confidence-like)
Stage1,92.24250030517578,margin,0.11118567568370104,0.388814324316299,higher->less error (confidence-like)
Primary,92.01434326171875,mean_logvar,0.4415811808251462,0.05841881917485381,higher->less error (confidence-like)
Primary,92.01434326171875,target_logvar,0.8427826816167486,0.34278268161674863,higher->more error (uncertainty-like)
Primary,92.01434326171875,top2_logvar,0.40769553304850104,0.09230446695149896,higher->less error (confidence-like)
Primary,92.01434326171875,max_logvar,0.5975536229369537,0.09755362293695369,higher->more error (uncertainty-like)
Primary,92.01434326171875,entropy,0.8874189420720466,0.38741894207204663,higher->more error (uncertainty-like)
Primary,92.01434326171875,msp,0.11247334215301423,0.38752665784698576,higher->less error (confidence-like)
Primary,92.01434326171875,margin,0.11344567582612215,0.38655432417387786,higher->less error (confidence-like)
VAE9182,91.81877136230469,mean_logvar,0.16895711438944258,0.3310428856105574,higher->less error (confidence-like)
VAE9182,91.81877136230469,target_logvar,0.4579297294315815,0.0420702705684185,higher->less error (confidence-like)
VAE9182,91.81877136230469,top2_logvar,0.15863701742550568,0.3413629825744943,higher->less error (confidence-like)
VAE9182,91.81877136230469,max_logvar,0.21364877727287515,0.2863512227271249,higher->less error (confidence-like)
VAE9182,91.81877136230469,entropy,0.8871775942025296,0.3871775942025296,higher->more error (uncertainty-like)
VAE9182,91.81877136230469,msp,0.11219021676870793,0.38780978323129206,higher->less error (confidence-like)
VAE9182,91.81877136230469,margin,0.1132558866415771,0.3867441133584229,higher->less error (confidence-like)
