# per-file commit histories for the declaration-bearing files
# (subject lines omitted under field-selective mode; the file association
#  itself is the evidence: <hash> <author-date> <committer-date> touched <file>)


== diagnostics/PREREGISTRATIONS.md ==
2240b3e3f1cddab59bdf3f986f2be55751447cd3 2026-08-15T02:10:56+03:00 2026-08-15T02:10:56+03:00
b71e6ad26be44e680af5e7670cea498760795c91 2026-08-06T12:06:59+03:00 2026-08-06T12:06:59+03:00
9604c6102420a6d3795df176944dbcbea7d469d9 2026-08-06T01:15:30+03:00 2026-08-06T01:15:30+03:00
d0d61084607ebc4ba5b27b5f39c493061dcc651d 2026-08-06T00:46:34+03:00 2026-08-06T00:46:34+03:00
2d6bed2a0f5325223bb9c4ad191e6da6bc09368f 2026-08-06T00:38:04+03:00 2026-08-06T00:38:04+03:00
98bc0e2a5b967825c28b3498477984cda3345e71 2026-08-06T00:31:22+03:00 2026-08-06T00:31:22+03:00
d2dc4f4cc9fef9b3af25d8684cc9becb62260465 2026-08-04T01:30:06+03:00 2026-08-04T01:30:06+03:00
ccf3b36074aeca5090f2576fdfedb8daea5e4c3d 2026-08-04T01:17:56+03:00 2026-08-04T01:17:56+03:00
0b8ef2f86c17671c7040b69c6e4dbcddab2699ec 2026-08-04T00:59:56+03:00 2026-08-04T00:59:56+03:00
72734d40c403d01464b957bcd0d8ab28eb883cda 2026-08-01T14:31:13+03:00 2026-08-01T14:31:13+03:00
3d9dbee948e479b1ab8cb4c76fca0fae4d633517 2026-08-01T14:23:31+03:00 2026-08-01T14:23:31+03:00
0e615f26897e31765ffcb289ab9bce5c139e257f 2026-08-01T04:29:23+03:00 2026-08-01T04:29:23+03:00
9b2d31c5c11d051eae8d2b7714c975a608fe5c33 2026-07-31T17:04:24+03:00 2026-07-31T17:04:24+03:00

== diagnostics/preregistration_blocks.csv ==
b71e6ad26be44e680af5e7670cea498760795c91 2026-08-06T12:06:59+03:00 2026-08-06T12:06:59+03:00
8c7d0393ae9aab86663b405109c1050d8f533cdc 2026-08-06T01:22:46+03:00 2026-08-06T01:22:46+03:00
3d9dbee948e479b1ab8cb4c76fca0fae4d633517 2026-08-01T14:23:31+03:00 2026-08-01T14:23:31+03:00
9b2d31c5c11d051eae8d2b7714c975a608fe5c33 2026-07-31T17:04:24+03:00 2026-07-31T17:04:24+03:00

== diagnostics/selection_audit/selection_audit.csv ==
9b2d31c5c11d051eae8d2b7714c975a608fe5c33 2026-07-31T17:04:24+03:00 2026-07-31T17:04:24+03:00

== diagnostics/holm_family.py ==
66dd65ddf6c92459e3a2d80b0082545035f14c3a 2026-08-06T11:23:04+03:00 2026-08-06T11:23:04+03:00

== diagnostics/paper_tables/holm_family.json ==
66dd65ddf6c92459e3a2d80b0082545035f14c3a 2026-08-06T11:23:04+03:00 2026-08-06T11:23:04+03:00
f381704b7564d898ea551e3845eb857e33004263 2026-08-01T14:48:47+03:00 2026-08-01T14:48:47+03:00

== diagnostics/robustness_metrics.py ==
7bec72d84c1bf10553cc6452aae2c29daedfa40b 2026-08-19T15:00:20+03:00 2026-08-19T15:00:20+03:00
2240b3e3f1cddab59bdf3f986f2be55751447cd3 2026-08-15T02:10:56+03:00 2026-08-15T02:10:56+03:00
82885162db4361e352379b9c0d55311f34a7046e 2026-08-06T22:52:41+03:00 2026-08-06T22:52:41+03:00
d2dc4f4cc9fef9b3af25d8684cc9becb62260465 2026-08-04T01:30:06+03:00 2026-08-04T01:30:06+03:00
ccf3b36074aeca5090f2576fdfedb8daea5e4c3d 2026-08-04T01:17:56+03:00 2026-08-04T01:17:56+03:00

== diagnostics/tstar_sensitivity.py ==
c9659b4d679acd9e2dee692836fefdc158558153 2026-08-18T03:01:27+03:00 2026-08-18T03:01:27+03:00
ccf3b36074aeca5090f2576fdfedb8daea5e4c3d 2026-08-04T01:17:56+03:00 2026-08-04T01:17:56+03:00

== diagnostics/jsd_sensitivity.py ==
ccf3b36074aeca5090f2576fdfedb8daea5e4c3d 2026-08-04T01:17:56+03:00 2026-08-04T01:17:56+03:00
