run_name,timestamp,family,teacher,manipulation,t_scale,student_head,student_arch,width_mult,student_pretrained,capacity_tag,gate_signal,preregistration_block,seed,epochs,swa_start,kd_temperature,alpha,class_weight_mode,best_epoch,acc,ece,ece_source,macro_f1,params_m,flops_g,run_dir
RAFDB_7cls_lightle_vich_from_vae9182_224,2026-06-17-13-17-49,baseline,vae9182,none,1.0,vich,plus,1.0,True,w100,,,42,200,,4.0,0.3,,125,89.30899608865711,0.028990748215763015,cached,83.53678247634039,2.248291,0.328584384,results/unified_students/RAFDB_7cls_lightle_vich_from_vae9182_224/2026-06-17-13-17-49
RAFDB_7cls_lightle_vich_from_vae9182_256,2026-06-17-23-22-50,baseline,vae9182,none,1.0,vich,plus,1.0,True,w100,,,42,200,,4.0,0.3,,137,89.53715775749674,0.026314346170759572,cached,83.6025667517056,2.248291,0.429148224,results/unified_students/RAFDB_7cls_lightle_vich_from_vae9182_256/2026-06-17-23-22-50
RAFDB_bridge_baseline_b070_T6_224_400e_swa200_seed42,2026-07-21-22-56-23,baseline,unknown,none,1.0,vich,plus,1.0,True,w100,,,42,400,200,6.0,0.3,effective_number,351,89.08083441981746,0.06012879372264758,cached,82.7465824046806,2.248291,0.328584384,results/unified_students/RAFDB_bridge_baseline_b070_T6_224_400e_swa200_seed42/2026-07-21-22-56-23
RAFDB_ce9241_betaKD_b070_T6_224_amp_classw,2026-06-19-05-14-00,baseline,unknown,none,1.0,vich,plus,1.0,True,w100,,,42,200,90,6.0,0.3,effective_number,196,89.40677966101694,0.06742952728578444,cached,83.85701192289055,2.248291,0.328584384,results/unified_students/RAFDB_ce9241_betaKD_b070_T6_224_amp_classw/2026-06-19-05-14-00
RAFDB_ce9241_betaKD_b070_T6_224_best_400e_swa200,2026-06-20-00-22-09,baseline,unknown,none,1.0,vich,plus,1.0,True,w100,,,42,400,200,6.0,0.3,effective_number,281,89.47196870925684,0.07347018058949686,cached,83.27361790575219,2.248291,0.328584384,results/unified_students/RAFDB_ce9241_betaKD_b070_T6_224_best_400e_swa200/2026-06-20-00-22-09
RAFDB_ce9241_betaKD_b070_T6_224_feat003_amp_classw,2026-06-19-20-47-48,baseline,unknown,none,1.0,vich,plus,1.0,True,w100,,,42,200,90,6.0,0.3,effective_number,155,89.47196870925684,0.061852136303851626,cached,83.31880246576384,2.248291,0.328584384,results/unified_students/RAFDB_ce9241_betaKD_b070_T6_224_feat003_amp_classw/2026-06-19-20-47-48
RAFDB_ce9241_betaKD_b070_T6_256_amp_classw,2026-06-18-12-41-20,baseline,unknown,none,1.0,vich,plus,1.0,True,w100,,,42,200,90,6.0,0.3,effective_number,148,89.4393741851369,0.07159413008512311,cached,82.86141787274478,2.248291,0.429148224,results/unified_students/RAFDB_ce9241_betaKD_b070_T6_256_amp_classw/2026-06-18-12-41-20
RAFDB_ce9241_betaKD_b075_T6_224_t256_reg005_amp_classw,2026-06-19-14-26-31,baseline,unknown,none,1.0,vich,plus,1.0,True,w100,,,42,200,90,6.0,0.25,effective_number,166,89.47196870925684,0.07564550007279414,cached,82.72965097861294,2.248291,0.328584384,results/unified_students/RAFDB_ce9241_betaKD_b075_T6_224_t256_reg005_amp_classw/2026-06-19-14-26-31
RAFDB_primary_adaptive_t_b070_T6_224_400e_swa200,2026-07-18-08-02-57,mechanism_ablation,primary,adaptive_t,1.0,vich,plus,1.0,True,w100,,,42,400,200,6.0,0.3,effective_number,391,89.08083441981746,0.0665947126159068,cached,83.22477374348092,2.248291,0.328584384,results/unified_students/RAFDB_primary_adaptive_t_b070_T6_224_400e_swa200/2026-07-18-08-02-57
RAFDB_primary_adaptive_t_b070_T6_224_400e_swa200_seed1,2026-07-25-19-11-14,mechanism_ablation,primary,adaptive_t,1.0,vich,plus,1.0,True,w100,,,1,400,200,6.0,0.3,effective_number,236,89.01564537157758,0.07070383336273602,cached,83.10308775521526,2.248291,0.328584384,results/unified_students/RAFDB_primary_adaptive_t_b070_T6_224_400e_swa200_seed1/2026-07-25-19-11-14
